"Hitting"
"Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Fantasy Points","Average Fantasy Points per Game","AB","H","1B","2B","3B","HR","BB","SB","CS","PKO","HBP","SF","GP"
"C","Yadier Molina","STL","C","Act","38","WSH 1<br/>@STL 0","1.00","59.8","5.98","30","11","8","2","0","1","4","0","0","0","0","1","10"
"1B","Carlos Santana","KC","1B","Act","35","LAA Mon 7:10PM","3.00","28.3","4.04","27","5","3","1","0","1","5","0","0","0","0","0","7"
"2B","Jed Lowrie","OAK","2B,3B","Act","36","@ARI Mon 8:40PM","1.00","49.2","4.92","34","10","7","2","0","1","4","0","0","0","0","0","10"
"3B","Evan Longoria","SF","3B","Act","35","CIN Mon 8:45PM","1.00","66.1","8.26","30","10","6","1","0","3","3","0","0","0","0","0","8"
"SS","Paul DeJong","STL","SS","Act","27","WSH 1<br/>@STL 0","5.00","25.6","2.56","31","3","1","0","0","2","6","0","0","0","1","0","10"
"MI","Marcus Semien","TOR","2B,SS","Act","30","NYY 0<br/>@TOR 1","15.00","48.8","4.88","40","8","5","0","0","3","4","2","0","0","0","0","10"
"OF","Ronald Acuna Jr.","ATL","OF","Act","23","MIA 1<br/>@ATL 1","62.00","121.4","12.14","36","16","7","5","0","4","3","3","0","0","0","1","10"
"OF","Corey Dickerson","MIA","OF","Act","31","MIA 1<br/>@ATL 1","1.00","25.2","2.8","26","7","3","4","0","0","1","0","1","1","1","0","9"
"OF","Adam Eaton","CHW","OF","Act","32","CLE Mon 7:10PM","1.00","49.5","6.19","31","8","6","0","0","2","5","1","0","0","0","0","8"
"OF","Aaron Judge","NYY","OF","Act","28","NYY 0<br/>@TOR 1","30.00","48.2","6.02","30","9","7","0","0","2","3","0","0","0","0","0","8"
"UT","Shohei Ohtani","LAA","UT,SP","Act","26","@KC Mon 7:10PM","13.00","74.3","8.26","34","10","4","1","2","3","1","2","0","0","1","0","9"
"C","Enyerberth Ascanio","NYY","C","Res","20","NYY 0<br/>@TOR 1","120.00","0","0","","","","","","","","","","","","",""
"UT","Christian Vazquez","BOS","C","Res","30","","5.00","76.1","8.46","34","13","8","3","0","2","2","2","0","0","0","0","9"
"1B","Miguel Sano","MIN","1B","Res","27","","8.00","14.2","1.58","33","3","2","0","0","1","7","0","0","0","0","0","9"
"UT","Miguel Cabrera","DET","UT","Res","37","@HOU Mon 7:10PM","2.00","14.1","2.01","24","3","1","1","0","1","3","0","0","0","0","0","7"
"MI","Enrique Hernandez","BOS","2B,OF","Res","29","","1.00","34.8","3.87","38","9","6","2","0","1","2","0","0","1","1","1","9"
"3B","Rafael Devers","BOS","3B","Res","24","","30.00","59.8","7.47","32","8","4","0","0","4","4","0","1","1","1","0","8"
"SS","Andrelton Simmons","MIN","SS","Res","31","","1.00","58.7","6.52","27","10","7","3","0","0","6","0","0","0","1","0","9"
"UT","Brett Gardner","NYY","OF","Res","37","NYY 0<br/>@TOR 1","1.00","34.4","4.91","17","6","4","2","0","0","4","0","0","0","0","0","7"
"OF","Max Kepler","MIN","OF","Res","28","","6.00","46.9","5.21","32","8","3","4","1","0","3","2","0","0","1","1","9"
"2B","Ketel Marte","ARI","2B,OF","Res","27","OAK Mon 8:40PM","30.00","77.6","12.93","26","12","6","4","0","2","2","0","0","0","0","0","6"
"OF","Tyler Naquin","CIN","OF","Res","29","@SF Mon 8:45PM","2.00","86.2","9.58","31","9","3","1","0","5","4","1","0","0","1","0","9"
"OF","Tyler O'Neill","STL","OF","Res","25","WSH 1<br/>@STL 0","1.00","6.9","0.86","28","4","2","1","0","1","0","0","1","0","1","0","8"
"3B","Nolan Jones","CLE","3B","Min","22","@CHW Mon 7:10PM","1.00","0","0","","","","","","","","","","","","",""
"SS","Wander Franco","TB","SS","Min","20","TEX 0<br/>@TB 0","21.00","0","0","","","","","","","","","","","","",""
"Totals","","","","","","","","1125.8","5.69","705","190","111","37","3","39","78","14","3","3","9","5","198"

"Pitching"
"Pos","Player","Team","Eligible","Status","Age","Opponent","Salary","Fantasy Points","Average Fantasy Points per Game","GS","IP","H","BB","K","SV","HLD","ERA","HB","HR","GP"
"SP","Jake Arrieta","CHC","SP","Act","35","CHC 0<br/>@MIL 0","1.00","61","30.5","2","12","13","4","9","0","0","2.25","0","0","2"
"SP","Johnny Cueto","SF","SP","Act","35","CIN Mon 8:45PM","2.00","96.07","48.03","2","14.1","10","4","14","0","0","2.51","0","0","2"
"SP","Lance Lynn","CHW","SP","Act","33","CLE Mon 7:10PM","22.00","100.53","50.27","2","13.2","11","2","17","0","0","0.00","0","0","2"
"SP","Charlie Morton","ATL","SP","Act","37","MIA 1<br/>@ATL 1","16.00","67.4","33.7","2","11","10","3","12","0","0","3.27","1","0","2"
"RP","Amir Garrett","CIN","RP","Act","28","@SF Mon 8:45PM","3.00","-11.4","-3.8","0","3","5","4","3","2","0","15.00","0","2","3"
"RP","Drew Pomeranz","SD","RP","Act","32","SD 1<br/>@PIT 1","4.00","43.8","10.95","0","4","3","0","7","0","2","0.00","0","0","4"
"RP","Chris Rodriguez","LAA","SP,RP","Act","22","@KC Mon 7:10PM","1.00","31.87","10.62","0","6.1","5","5","8","0","0","1.42","1","0","3"
"RP","Ryne Stanek","HOU","RP","Act","29","DET Mon 7:10PM","1.00","40.5","8.1","0","6","1","1","8","0","1","1.50","2","1","5"
"RP","Cesar Valdez","BAL","RP","Act","36","SEA Mon 6:05PM","1.00","40.47","10.12","0","5.1","5","1","5","2","0","1.69","1","0","4"
"SP","Robbie Ray","TOR","SP","Res","29","NYY 0<br/>@TOR 1","3.00","10.8","10.8","0","2","0","2","1","0","0","0.00","0","0","1"
"SP","Max Scherzer","WSH","SP","Res","36","WSH 1<br/>@STL 0","40.00","43.8","21.9","2","12","8","1","14","0","0","3.75","0","4","2"
"SP","Jameson Taillon","NYY","SP","Res","29","NYY 0<br/>@TOR 1","3.00","16.13","16.13","1","4.2","3","0","7","0","0","3.86","0","2","1"
"RP","Nick Anderson","TB","RP","Res","30","TEX 0<br/>@TB 0","15.00","0","0","","","","","","","","0","","",""
"RP","Pete Fairbanks","TB","RP","Res","27","TEX 0<br/>@TB 0","5.00","21.93","7.31","0","2.2","3","2","2","0","3","3.38","0","0","3"
"RP","Jesse Hahn","KC","RP","Res","31","LAA Mon 7:10PM","1.00","-12.93","-2.59","0","3.1","5","4","3","1","1","13.50","1","2","5"
"RP","Hector Neris","PHI","RP","Res","31","","2.00","48.4","9.68","0","5","1","2","5","2","0","0.00","0","0","5"
"RP","Joakim Soria","ARI","RP","Res","36","OAK Mon 8:40PM","4.00","2.93","2.93","0","0.2","0","2","0","0","1","0.00","0","0","1"
"SP","Luis Severino","NYY","SP","IR","27","NYY 0<br/>@TOR 1","4.00","0","0","","","","","","","","0","","",""
"SP","Framber Valdez","HOU","SP","IR","27","DET Mon 7:10PM","1.00","0","0","","","","","","","","0","","",""
"SP","Logan Gilbert","SEA","SP","Min","23","@BAL Mon 6:05PM","1.00","0","0","","","","","","","","0","","",""
"SP","Kwang Hyun Kim","STL","SP","Min","32","WSH 1<br/>@STL 0","1.00","0","0","","","","","","","","0","","",""
"RP","Brusdar Graterol","LAD","RP","Min","22","","1.00","0","0","","","","","","","","0","","",""
"Totals","","","","","","","","601.3","13.36","11","106","83","37","115","7","8","2.72","6","11","45"
