pitches,player_id,player_name,total_pitches,pitch_percent,ba,slg,slg_total,babip,babip_total_numerator,babip_total_denominator,iso,iso_total,hits,abs,singles,fouls,whiffs,swings,takes,woba,woba_value,xwoba,xwoba_value,wobadiff,pa,hrs,dbls,triples,so,bb,k_percent,bb_percent,swing_miss_percent,launch_speed,exit_velocity,launch_angle,effective_speed,velocity,spin_rate,bbdist,eff_min_vel,swing_speed,release_extension,start_distance,pos1_int_start_distance,pos2_int_start_distance,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,xba,xbadiff,xslg,xslgdiff,xslg_value,xslg_denom,xba_value,release_pos_x,release_pos_y,release_pos_z,pfx_x,pfx_z,px,pz,plate_x,plate_z,savant_batter_id,pitcher,batter_team_id,pitcher_team_id,batter_team,pitcher_team,pitcher_id
57,458731,Brett Gardner,57,100.0,0.000,0.000,0,0.000,0,2,0.000,0,0,7,0,7,6,15,42,0.254,2.789427,0.276,3.041427,-0.022,11,0,0,0,5,4,45.5,36.4,40.0,78.4,78.4,-22.0,95.86,93.6,2350,166,2.3,51.4,7.51,0,56,6,106,150,99,148,292,317,300,0.039,-0.039,0.043,-0.043,0.301,7,0.275,-1.88,52.99,5.89,-0.10973,0.84033,-0.05,0.08,-0.04,2.37,458731,Tyler Glasnow,147,139,New York Yankees,Tampa Bay Rays,607192
38,592450,Aaron Judge,38,100.0,0.222,0.222,2,0.333,2,6,0.000,0,2,9,2,3,6,15,23,0.195,1.759195,0.185,1.663,0.010,9,0,0,0,3,0,33.3,0.0,40.0,83.7,83.7,16.6,90.60,89.0,2617,194,1.6,55.3,7.39,0,56,7,110,151,118,151,320,331,307,0.193,0.029,0.229,-0.007,2.0650000000000004,9,1.734,-1.84,53.12,5.98,-0.03886,-0.09830,0.43,-0.93,0.36,1.83,592450,Tyler Glasnow,147,139,New York Yankees,Tampa Bay Rays,607192
83,543760,Marcus Semien,83,100.0,0.167,0.222,4,0.214,3,14,0.056,1,3,18,2,14,7,35,48,0.192,3.653231,0.179,3.392295,0.013,19,0,1,0,4,1,21.1,5.3,20.0,88.6,88.6,25.6,88.95,89.7,2532,166,-0.7,58.1,5.77,0,56,5,106,152,110,147,296,323,294,0.144,0.023,0.212,0.010,3.811,18,2.598,1.12,54.73,5.97,0.41207,0.98873,-0.09,0.07,-0.08,2.52,543760,Mike Minor,141,118,Toronto Blue Jays,Kansas City Royals,501985
69,467793,Carlos Santana,69,100.0,0.133,0.333,5,0.091,1,11,0.200,3,2,15,1,9,2,23,46,0.225,3.599891,0.187,2.99453,0.038,16,1,0,0,3,1,18.8,6.3,8.7,85.5,85.5,13.1,91.50,91.0,2126,122,0.5,53.9,6.57,0,56,6,111,152,112,147,290,315,290,0.138,-0.005,0.216,0.117,3.2430000000000003,15,2.0679999999999996,1.24,53.93,5.72,1.09954,0.74366,-0.53,0.16,-0.44,2.66,467793,Steven Matz,118,141,Kansas City Royals,Toronto Blue Jays,571927
32,543760,Marcus Semien,32,100.0,0.222,0.333,3,0.333,2,6,0.111,1,2,9,1,5,7,18,14,0.236,2.122844,0.106,0.954,0.130,9,0,1,0,3,0,33.3,0.0,38.9,76.6,76.6,19.5,68.51,86.9,2289,185,-18.4,47.9,5.57,0,57,6,105,148,104,146,292,308,286,0.117,0.105,0.122,0.211,1.098,9,1.051,-1.00,54.91,6.50,0.13697,0.82833,0.44,-0.53,0.36,1.96,543760,Ervin Santana,141,118,Toronto Blue Jays,Kansas City Royals,429722
74,467793,Carlos Santana,74,100.0,0.389,0.444,8,0.412,7,17,0.056,1,7,18,6,8,9,34,40,0.382,7.256958,0.310,2.173,0.072,19,0,1,0,1,1,5.3,5.3,26.5,88.5,88.5,2.2,84.07,84.3,2025,105,-0.2,60.6,6.13,0,57,5,102,152,116,143,297,313,286,0.338,0.051,0.368,0.076,2.578,7,2.368,2.34,54.78,6.19,0.86901,1.13141,0.26,-0.45,0.21,2.05,467793,Tommy Milone,118,141,Kansas City Royals,Toronto Blue Jays,543548
11,660670,Ronald Acuna Jr.,11,100.0,0.333,1.333,4,0.000,0,1,1.000,3,1,3,0,3,2,7,4,0.677,2.03083,0.633,1.899,0.044,3,1,0,0,1,0,33.3,0.0,28.6,101.4,101.4,17.2,87.55,86.9,2105,229,0.6,72.3,6.53,0,56,6,111,153,110,145,321,321,285,0.413,-0.080,1.105,0.228,3.316,3,1.24,-1.82,53.97,5.66,-0.25912,0.81999,0.49,-0.21,0.41,2.29,660670,Trevor Williams,144,112,Atlanta Braves,Chicago Cubs,592866
13,425877,Yadier Molina,13,100.0,0.400,0.600,3,0.400,2,5,0.200,1,2,5,1,0,1,6,7,0.467,2.801236,0.322,1.9326119999999998,0.145,6,0,1,0,0,1,0.0,16.7,16.7,89.5,89.5,32.8,89.15,89.9,2314,184,-0.8,61.3,5.97,0,56,6,115,144,112,145,288,309,294,0.222,0.178,0.368,0.232,1.838,5,1.109,1.77,54.53,6.27,0.38043,1.16431,-0.27,-0.10,-0.22,2.47,425877,Matt Moore,138,143,St. Louis Cardinals,Philadelphia Phillies,519043
3,657557,Paul DeJong,3,100.0,0.000,0.000,0,0.000,0,1,0.000,0,0,1,0,1,1,3,0,0.000,0,0.265,0.265,-0.265,1,0,0,0,0,0,0.0,0.0,33.3,93.5,93.5,31.3,87.97,89.7,2157,364,-1.7,63.9,5.61,0,56,6,106,148,118,147,295,314,300,0.133,-0.133,0.516,-0.516,0.516,1,0.133,2.20,54.89,5.99,1.55288,1.25797,-0.31,-0.58,-0.26,1.78,657557,Matt Moore,138,143,St. Louis Cardinals,Philadelphia Phillies,519043
72,594809,Adam Eaton,72,100.0,0.455,0.545,6,0.500,5,10,0.091,1,5,11,4,15,7,32,40,0.469,6.094761,0.345,4.480825,0.124,13,0,1,0,1,2,7.7,15.4,21.9,81.0,81.0,15.1,89.69,89.6,2407,206,0.1,51.9,6.33,0,57,5,115,150,100,152,282,318,300,0.295,0.160,0.362,0.183,3.978,11,3.249,-2.60,54.17,6.22,-0.24817,0.60046,-0.29,0.13,-0.24,2.38,594809,Nick Pivetta,145,111,Chicago White Sox,Boston Red Sox,601713
34,446334,Evan Longoria,34,100.0,0.000,0.000,0,0.000,0,3,0.000,0,0,5,0,9,4,16,18,0.205,1.438432,0.275,1.9254319999999998,-0.070,7,0,0,0,2,0,28.6,0.0,25.0,94.8,94.8,33.4,90.86,92.1,2410,165,-1.2,57.7,5.63,0,56,5,105,153,120,147,307,323,301,0.103,-0.103,0.121,-0.121,0.6070000000000001,5,0.513,-2.46,54.87,5.93,-0.61552,0.66595,-0.12,-0.38,-0.10,2.19,446334,Sandy Alcantara,137,146,San Francisco Giants,Miami Marlins,645261
44,572816,Corey Dickerson,44,100.0,0.200,0.500,5,0.200,1,5,0.300,3,2,10,1,9,7,22,22,0.326,3.584423,0.455,5.003994,-0.129,11,1,0,0,4,1,36.4,9.1,31.8,93.4,93.4,3.9,90.75,91.3,2375,160,-0.5,56.3,6.28,0,57,5,119,153,115,151,289,324,297,0.281,-0.081,0.775,-0.275,7.747,10,2.806,-1.51,54.22,5.97,-0.71103,0.73015,-0.22,-0.23,-0.18,2.23,572816,Aaron Sanchez,146,137,Miami Marlins,San Francisco Giants,592717
116,593934,Miguel Sano,116,100.0,0.136,0.273,6,0.231,3,13,0.136,3,3,22,0,14,16,43,73,0.231,5.776809,0.311,7.782448999999999,-0.080,25,0,3,0,9,3,36.0,12.0,37.2,94.6,94.6,15.8,87.36,87.6,1966,186,-0.2,59.5,6.35,0,56,5,108,152,111,145,302,315,294,0.236,-0.100,0.383,-0.110,8.417,22,5.186000000000001,1.95,54.16,5.88,0.36123,1.09411,-0.09,-0.50,-0.07,2.13,593934,Jose Quintana,142,108,Minnesota Twins,Los Angeles Angels,500779
55,596146,Max Kepler,55,100.0,0.313,0.500,8,0.455,5,11,0.188,3,5,16,3,9,7,28,27,0.339,5.419652,0.194,3.097,0.145,16,0,1,1,5,0,31.3,0.0,25.0,86.1,86.1,15.5,85.88,86.1,2075,178,-0.2,56.1,6.27,0,56,5,106,145,104,148,291,310,292,0.196,0.117,0.252,0.248,4.0280000000000005,16,3.141,1.95,54.23,5.85,0.19273,0.87248,-0.25,-0.38,-0.21,2.15,596146,Jose Quintana,142,108,Minnesota Twins,Los Angeles Angels,500779
